individuals_income_below_185_percent_poverty_level,total_population_white,total_population_black_or_african_american,total_population_american_indian_and_alaska_native,total_population_asian,total_population_native_hawaiian_and_other_pacific_islander,total_population_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households_spanish,total_lep_households_other_indo_european_languages,total_lep_households_asian_and_pacific_island_languages,total_lep_households_other_languages,region
89,1263,0,0,23,0,45,1289,0,9,0,0,Northeast
1161,5364,1,0,167,0,1074,4556,2,168,30,0,Northeast
1159,5633,184,27,248,0,910,5731,10,165,0,49,Northeast
890,5220,36,0,291,0,659,5304,16,114,17,0,Northeast
445,3045,2,13,68,0,548,2856,0,25,0,0,Northeast
582,4961,17,0,152,23,549,5221,139,141,42,0,Northeast
1070,3947,60,0,373,0,1103,3679,16,44,52,0,Northeast
649,4555,10,12,314,0,877,4303,24,217,25,7,Northeast
1250,4697,64,0,405,0,1266,4248,38,187,14,35,Northeast
406,2523,42,0,368,0,632,2463,28,86,0,0,Northeast
1247,4386,11,42,354,0,1238,4093,32,60,9,11,Northeast
933,3295,22,11,423,0,1258,3343,46,105,20,0,Northeast
993,3817,37,0,853,15,1437,3843,58,118,107,0,Northeast
782,2363,134,42,231,0,939,2635,29,120,0,54,Northeast
172,3824,12,0,144,0,581,3577,11,45,0,0,Northeast
421,3693,142,0,465,0,486,4121,7,60,33,0,Northeast
638,5661,59,0,869,0,775,6117,10,149,24,0,Northeast
750,2467,18,0,603,0,1091,2628,71,7,18,0,Northeast
1658,3283,107,0,1598,0,524,4588,40,225,290,27,Northeast
214,1123,15,0,242,0,369,1198,13,6,17,0,Northeast
1958,3216,222,62,1491,0,1143,4354,40,41,31,65,Northeast
1288,1805,442,68,381,0,1296,1898,74,0,16,25,Northeast
2748,3109,221,0,1069,0,2634,2921,248,19,347,51,Northeast
1365,1294,81,32,653,0,1706,1115,190,93,32,0,Northeast
931,1802,163,0,685,0,1397,2455,174,57,45,0,Northeast
1422,4042,26,0,746,0,2231,3747,143,33,50,60,Northeast
1019,2056,262,0,827,0,1549,2371,75,64,68,60,Northeast
1322,1407,323,0,695,0,1183,1685,98,50,113,6,Northeast
2047,2939,360,0,652,0,2655,2286,201,91,0,0,Northeast
1041,1427,173,9,561,0,1450,1578,132,6,42,12,Northeast
2010,3841,232,14,286,0,3692,2131,331,27,32,36,Northeast
1605,3898,224,0,783,0,2315,4058,322,0,65,0,Northeast
2238,5598,41,39,571,0,2713,5012,29,91,18,24,Northeast
1380,5850,185,0,332,0,2636,5225,48,157,13,79,Northeast
992,3479,113,66,225,0,1353,3556,46,152,0,0,Northeast
595,2730,42,23,203,0,1163,2647,35,111,9,6,Northeast
494,2907,151,10,295,0,1047,2856,38,91,16,0,Northeast
1262,3113,81,25,238,0,1403,2883,44,260,0,0,Northeast
905,2834,78,90,357,0,1583,2437,24,51,44,0,Northeast
975,3171,70,0,295,0,1892,2134,105,172,0,0,Northeast
1018,3001,90,102,87,0,2354,2460,47,74,8,11,Northeast
799,1617,68,0,135,0,1822,971,115,100,0,0,Northeast
1503,2869,90,0,61,12,3453,1439,189,90,11,13,Northeast
1725,3357,68,0,359,0,3293,2042,109,210,24,0,Northeast
855,2535,29,82,227,0,1764,1844,16,250,0,0,Northeast
596,1641,8,13,437,0,670,1867,41,28,40,48,Northeast
364,2359,106,12,356,0,610,2375,17,16,30,0,Northeast
733,2327,147,33,487,0,476,2927,68,24,79,44,Northeast
1198,3363,211,0,310,0,1750,2963,83,47,34,8,Northeast
1417,2569,204,0,579,0,2048,1971,198,13,22,0,Northeast
1555,2671,76,0,173,0,2436,1293,228,44,8,32,Northeast
861,2509,111,0,195,0,1339,2023,98,7,0,0,Northeast
1368,2428,161,0,361,0,1692,2043,83,14,34,0,Northeast
1061,4033,231,0,500,0,2390,3261,356,63,19,30,Northeast
1782,3725,151,0,487,24,3154,2298,142,13,8,0,Northeast
553,2066,68,0,203,0,704,1820,21,27,0,0,Northeast
344,1723,42,0,123,0,680,1491,0,28,0,0,Northeast
154,1517,163,0,144,0,367,1671,0,0,0,0,Northeast
730,2461,26,7,134,0,1982,1130,116,72,9,0,Northeast
1095,2856,98,0,114,11,2041,1642,118,92,10,16,Northeast
509,1502,33,0,134,0,161,1600,36,78,0,0,Northeast
379,2822,1,0,351,0,1315,2439,44,88,0,0,Northeast
966,4435,18,0,330,0,1907,3426,25,277,15,20,Northeast
1175,3347,112,72,187,0,1208,2981,47,148,9,0,Northeast
712,4804,0,0,344,0,1174,4345,24,262,0,0,Northeast
454,2282,39,0,47,0,418,2069,20,128,0,0,Northeast
739,2979,0,0,223,0,824,2471,0,114,0,0,Northeast
836,3273,217,0,329,32,1351,2724,0,219,10,0,Northeast
500,1482,94,0,59,0,828,1113,0,149,0,0,Northeast
1149,5474,374,34,338,10,1897,4980,65,393,29,0,Northeast
1012,3102,34,0,253,0,1717,2274,59,167,0,0,Northeast
1544,4545,0,0,389,0,2997,3157,71,352,0,0,Northeast
1045,1210,31,0,58,0,2126,327,209,0,0,0,Northeast
2075,2975,220,8,153,0,4689,1122,251,49,50,0,Northeast
1798,4163,100,9,96,0,3447,2071,172,280,29,0,Northeast
1259,2852,83,21,381,0,2696,1686,72,61,0,0,Northeast
1984,3814,91,0,15,0,3756,1629,181,140,0,0,Northeast
1380,1841,313,0,78,0,4267,689,245,35,16,14,Northeast
1767,2777,77,31,115,0,3964,876,180,75,0,0,Northeast
1267,1700,29,0,42,0,2279,456,176,65,9,0,Northeast
2735,2954,167,0,0,0,4508,481,389,86,0,0,Northeast
2984,3331,162,10,58,0,5779,990,359,42,0,0,Northeast
625,1288,139,7,0,0,1941,251,168,0,0,0,Northeast
767,1622,72,6,148,0,2356,374,69,0,0,0,Northeast
3139,3839,335,0,130,0,5968,937,325,17,11,0,Northeast
2072,2048,133,22,28,15,3849,204,247,0,0,0,Northeast
1917,2640,224,1,147,0,5015,510,271,0,0,0,Northeast
2172,2768,176,31,51,0,4432,559,178,0,0,0,Northeast
1049,2170,212,64,166,0,2723,1100,142,127,0,0,Northeast
1953,2203,240,8,95,11,4045,803,367,0,0,0,Northeast
747,1125,87,0,31,0,1701,218,101,0,0,0,Northeast
1570,2040,152,121,63,0,3182,515,271,0,0,0,Northeast
1507,2415,212,35,185,0,3741,736,268,0,0,0,Northeast
1081,3136,143,0,264,37,1757,2345,68,14,11,0,Northeast
1114,1716,60,0,31,0,1693,821,95,63,0,22,Northeast
1395,2369,168,23,102,0,1723,1310,124,76,0,0,Northeast
1790,3134,204,0,80,0,2919,1551,69,53,0,0,Northeast
888,2043,26,70,148,0,1647,1194,98,11,0,0,Northeast
1184,2839,69,0,252,0,2387,1705,165,25,0,0,Northeast
1566,3481,81,15,159,10,2353,1881,139,23,0,0,Northeast
279,755,7,0,14,6,748,417,63,0,0,0,Northeast
674,2350,178,0,172,0,1090,1968,49,0,0,0,Northeast
313,1594,38,9,115,0,510,1538,40,6,11,0,Northeast
308,2390,33,0,204,0,397,2323,48,14,0,0,Northeast
500,2045,118,0,152,0,600,1903,47,0,6,0,Northeast
341,1292,49,33,29,0,556,1056,31,0,5,15,Northeast
1438,3884,217,0,286,0,1760,3142,254,0,0,0,Northeast
867,2395,147,0,47,0,2159,1033,100,0,0,0,Northeast
1291,2901,208,156,104,0,2554,1348,203,11,0,0,Northeast
1543,2161,288,0,28,0,2068,923,227,0,0,0,Northeast
1237,2398,23,40,31,0,2215,593,159,0,0,0,Northeast
1138,2180,230,6,49,0,1573,1186,89,5,0,0,Northeast
1699,3776,332,21,159,11,2028,2633,271,9,0,0,Northeast
558,2538,116,0,90,0,934,2240,108,0,0,0,Northeast
1039,2282,85,0,155,0,1139,1740,149,17,0,0,Northeast
797,2388,149,0,123,15,1347,1797,92,0,0,0,Northeast
818,2217,228,0,220,0,900,1826,189,88,18,0,Northeast
459,2708,244,36,169,0,591,2677,33,10,0,0,Northeast
262,1956,87,2,159,0,326,2001,25,0,0,0,Northeast
463,1340,73,57,9,0,823,869,41,0,0,0,Northeast
514,1367,116,5,35,0,462,1201,50,28,0,0,Northeast
935,2088,169,29,34,0,1400,1149,105,5,0,7,Northeast
444,805,59,0,0,0,645,362,82,0,0,0,Northeast
454,727,131,7,0,0,726,279,20,4,0,0,Northeast
588,1042,115,0,50,0,877,741,58,0,11,0,Northeast
979,957,409,47,62,0,1378,880,84,0,7,6,Northeast
507,399,101,0,0,0,757,215,47,0,0,0,Northeast
887,1076,26,7,40,0,1728,362,131,0,0,0,Northeast
2101,1225,248,0,8,0,2975,352,219,0,8,0,Northeast
3345,2274,1131,75,0,0,5562,1377,334,0,0,0,Northeast
2753,2415,362,11,0,0,5508,685,549,0,0,0,Northeast
531,661,72,5,0,0,1045,187,68,0,0,0,Northeast
1510,2511,575,137,82,0,2969,1778,252,0,0,0,Northeast
493,143,692,0,0,0,463,743,15,0,0,0,Northeast
3377,628,3968,13,0,0,2087,4214,161,24,0,0,Northeast
2619,117,4726,0,0,28,912,4674,152,0,0,0,Northeast
196,1416,23,5,93,0,249,1384,81,11,0,0,Northeast
147,1051,62,0,64,0,60,1155,0,12,5,0,Northeast
211,2142,42,0,183,0,164,2261,0,0,48,0,Northeast
